qni quindi
cs così
cn con
x per
nn non
cm come
qnd quando
qlc qualcosa
qst questo
sn sono
xo però
xk perché
cmq comunque
frs forse
k che
ank anche
tt tutto
xo però
grz grazie
dv dove
po po'
qls qualsiasi
prp proprio
xche perché
perche perché
poiche poiché
Perche Perché
Poiche Poiché
affinche affinché
caffe caffè
finche finché
nonche nonché
sicche sicché
sennonche sennonché
gia già
nazionalita nazionalità
citta città
liberta libertà
umidita umidità
velocita velocità
priorita priorità
felicita felicità
realta realtà
verita verità
capacita capacità
luminosita luminosità
sapra saprà
avra avrà
spontaneita spontaneità
semplicita semplicità
capitera capiterà
andra andrà
accorgera accorgerà
dara darà
pensera penserà
mandera manderà
collezionera collezionerà
qualita qualità
eta età
inferiorita inferiorità
universita università
piu più
pero però
cio ciò
sopratutto soprattutto
civilta civiltà
cioe cioè
puo può
guardo guardò
riapri riaprì
faro farò
penso pensò
continuo continuò
annui annuì
osservo osservò
cerco cercò
raddrizzo raddrizzò
